iter	Passed	Remaining
126	21139	62086
127	21326	61979
128	21444	61673
129	21639	61588
130	21792	61385
131	21893	61035
132	22007	60726
133	22204	60648
134	22404	60575
135	22558	60378
136	22658	60037
137	22779	59755
138	22880	59424
139	23079	59348
140	23214	59105
141	23321	58796
142	23513	58702
143	23715	58631
144	23882	58471
145	24091	58412
146	24291	58332
147	24386	57999
148	24496	57707
149	24637	57488
150	24839	57411
151	25022	57289
152	25219	57198
153	25417	57106
154	25601	56984
155	25794	56880
156	25973	56744
157	26074	56440
158	26179	56146
159	26287	55860
160	26395	55578
161	26553	55401
162	26731	55267
163	26928	55171
164	27123	55068
165	27311	54952
166	27508	54851
167	27693	54728
168	27816	54480
169	27929	54215
170	28083	54031
171	28287	53943
172	28454	53784
173	28657	53691
174	28851	53581
175	29061	53499
176	29256	53388
177	29430	53238
178	29634	53142
179	29831	53034
180	29975	52830
181	30091	52576
182	30192	52300
183	30305	52046
184	30470	51883
185	30587	51637
186	30745	51462
187	30854	51205
188	30954	50935
189	31057	50673
190	31185	50451
191	31369	50322
192	31562	50205
193	31757	50091
194	31947	49969
195	32142	49854
196	32331	49727
197	32530	49616
198	32680	49430
199	32793	49190
200	32894	48932
201	33002	48687
202	33248	48645
203	33449	48534
204	33557	48290
205	33656	48033
206	33763	47791
207	33937	47643
208	34116	47502
209	34252	47300
210	34350	47048
211	34506	46876
212	34629	46660
213	34838	46559
214	35035	46442
215	35194	46274
216	35396	46161
217	35593	46042
218	35780	45910
219	35956	45763
220	36134	45617
221	36347	45516
222	36448	45274
223	36645	45152
224	36825	45009
225	36980	44834
226	37161	44691
227	37337	44543
228	37531	44414
229	37732	44294
230	37912	44148
231	38046	43950
232	38154	43721
233	38263	43495
234	38354	43251
235	38495	43063
236	38687	42931
237	38839	42755
238	38957	42543
239	39061	42316
240	39165	42091
241	39309	41908
242	39469	41743
243	39568	41514
244	39664	41283
245	39768	41061
246	39883	40852
247	40063	40710
248	40240	40563
249	40422	40422
250	40523	40200
251	40631	39986
252	40799	39831
253	40921	39632
254	41125	39512
255	41340	39402
256	41478	39218
257	41669	39085
258	41773	38870
259	41861	38641
260	41966	38429
261	42060	38207
262	42159	37992
263	42266	37783
264	42408	37607
265	42542	37424
266	42707	37269
267	42954	37184
268	43117	37026
269	43305	36890
270	43500	36758
271	43705	36635
272	43845	36457
273	43974	36270
274	44165	36135
275	44358	36001
276	44529	35848
277	44703	35698
278	44804	35490
279	44902	35280
280	45002	35072
281	45118	34878
282	45307	34741
283	45486	34595
284	45578	34384
285	45676	34177
286	45873	34045
287	46037	33888
288	46245	33764
289	46421	33615
290	46617	33480
291	46811	33345
292	46999	33204
293	47192	33066
294	47376	32922
295	47551	32772
296	47753	32639
297	47932	32491
298	48133	32357
299	48336	32224
300	48537	32089
301	48699	31928
302	48898	31791
303	49075	31640
304	49270	31500
305	49460	31357
306	49658	31218
307	49865	31084
308	50063	30945
309	50266	30808
310	50473	30673
311	50671	30532
312	50869	30391
313	51053	30241
314	51249	30098
315	51445	29955
316	51625	29802
317	51816	29655
318	52015	29513
319	52205	29365
320	52401	29220
321	52593	29073
322	52836	28953
323	53033	28808
324	53234	28664
325	53342	28471
326	53436	28270
327	53546	28079
328	53751	27937
329	53949	27792
330	54153	27649
331	54341	27497
332	54544	27354
333	54743	27207
334	54941	27060
335	55145	26916
336	55291	26743
337	55399	26552
338	55485	26351
339	55590	26160
340	55693	25968
341	55837	25796
342	56022	25642
343	56204	25487
344	56302	25295
345	56412	25108
346	56562	24939
347	56759	24791
348	56921	24627
349	57026	24439
350	57123	24248
351	57249	24070
352	57449	23923
353	57628	23767
354	57816	23615
355	58015	23466
356	58190	23308
357	58382	23157
358	58586	23010
359	58781	22859
360	58982	22710
361	59127	22540
362	59307	22383
363	59421	22201
364	59520	22014
365	59631	21832
366	59741	21650
367	59900	21486
368	60024	21309
369	60133	21128
370	60240	20946
371	60345	20764
372	60479	20592
373	60607	20418
374	60707	20235
375	60898	20083
376	61046	19917
377	61157	19738
378	61270	19561
379	61385	19384
380	61585	19235
381	61780	19084
382	61984	18935
383	62222	18796
384	62318	18614
385	62483	18453
386	62670	18299
387	62872	18148
388	63073	17997
389	63205	17827
390	63400	17674
391	63595	17521
392	63801	17370
393	63936	17201
394	64107	17041
395	64308	16888
396	64497	16733
397	64715	16585
398	64914	16431
399	65106	16276
400	65301	16121
401	65491	15965
402	65680	15808
403	65791	15633
404	65932	15465
405	66128	15310
406	66314	15152
407	66487	14992
408	66609	14820
409	66718	14645
410	66870	14480
411	67059	14323
412	67237	14163
413	67332	13987
414	67496	13824
415	67686	13667
416	67875	13509
417	68073	13354
418	68173	13179
419	68290	13007
420	68404	12835
421	68527	12666
422	68714	12508
423	68902	12350
424	68994	12175
425	69103	12003
426	69220	11833
427	69420	11678
428	69536	11508
429	69639	11336
430	69810	11176
431	70011	11020
432	70205	10863
433	70401	10706
434	70511	10536
435	70617	10365
436	70721	10195
437	70832	10026
438	71013	9867
439	71201	9709
440	71379	9549
441	71575	9392
442	71835	9242
443	71952	9075
444	72110	8912
445	72305	8754
446	72499	8596
447	72702	8438
448	72906	8281
449	73092	8121
450	73251	7958
451	73397	7794
452	73578	7633
453	73731	7470
454	73928	7311
455	74119	7151
456	74308	6991
457	74418	6824
458	74522	6656
459	74647	6491
460	74837	6331
461	75016	6170
462	75197	6009
463	75380	5848
464	75488	5681
465	75601	5515
466	75707	5349
467	75820	5184
468	75930	5018
469	76037	4853
470	76154	4688
471	76267	4524
472	76378	4359
473	76553	4199
474	76674	4035
475	76797	3872
476	76893	3707
477	77048	3546
478	77157	3382
479	77259	3219
480	77370	3056
481	77584	2897
482	77692	2734
483	77838	2573
484	78029	2413
485	78191	2252
486	78297	2090
487	78413	1928
488	78607	1768
489	78806	1608
490	78915	1446
491	79030	1285
492	79140	1123
493	79231	962
494	79344	801
495	79451	640
496	79561	480
497	79662	319
498	79768	159
499	79873	0
