iter	Logloss
0	0.6510476011
1	0.6171758034
2	0.5777738545
3	0.5590466087
4	0.5351648271
5	0.5173061766
6	0.506195153
7	0.4934546689
8	0.477843791
9	0.471253603
10	0.4649830609
11	0.4570397991
12	0.4531412516
13	0.4498750791
14	0.4459082363
15	0.4426103464
16	0.4387391782
17	0.4360182105
18	0.4327967715
19	0.430618454
20	0.4255699695
21	0.423069561
22	0.4212897453
23	0.4195848305
24	0.4177269153
25	0.4161346826
26	0.4151097721
27	0.4139078912
28	0.4130038799
29	0.4089271822
30	0.4060165094
31	0.4043425188
32	0.4034506178
33	0.4012856063
34	0.4002804669
35	0.3986768421
36	0.3972129631
37	0.3951013432
38	0.3943167599
39	0.393804372
40	0.3921929673
41	0.3915130935
42	0.3909242023
43	0.389740271
44	0.3893394732
45	0.388901341
46	0.3883624974
47	0.3879851067
48	0.3875829895
49	0.3870406259
50	0.3867001258
51	0.3859990268
52	0.3856658565
53	0.3852978102
54	0.3849532584
55	0.3836351286
56	0.3833078197
57	0.3828642924
58	0.3815949349
59	0.379981726
60	0.3796718024
61	0.3785830114
62	0.3775056388
63	0.3773089511
64	0.37680245
65	0.37650318
66	0.3758049201
67	0.3754496327
68	0.3752832593
69	0.3747724934
70	0.3741516927
71	0.3740094386
72	0.3736431712
73	0.3734243748
74	0.3731019803
75	0.3729551122
76	0.3723249496
77	0.3720702922
78	0.3718434977
79	0.3716937494
80	0.3714517645
81	0.3711749759
82	0.3705740913
83	0.3701526212
84	0.3699838505
85	0.3697233322
86	0.3695215812
87	0.3691286898
88	0.369058263
89	0.3683448522
90	0.3681278834
91	0.3679214676
92	0.3674911516
93	0.3673230526
94	0.367088287
95	0.3664760883
96	0.3661410166
97	0.3660422135
98	0.3652717468
99	0.3650794838
100	0.364899933
101	0.3647215678
102	0.3643931514
103	0.3642179497
104	0.3641376083
105	0.3638205233
106	0.3635103694
107	0.3633753795
108	0.3629859544
109	0.3629189803
110	0.3627554797
111	0.3624736057
112	0.3623727765
113	0.362256567
114	0.3620872029
115	0.3618263785
116	0.3615729604
117	0.3610455232
118	0.3609368713
119	0.3606276385
120	0.3604631301
121	0.3602286803
122	0.3591561242
123	0.3586718125
124	0.3584932807
125	0.358196521
126	0.3580598616
127	0.3578703514
128	0.357778125
129	0.3575975724
130	0.3573987089
131	0.35717269
132	0.3570541368
133	0.3568112381
134	0.3565343606
135	0.3564235629
136	0.3562718795
137	0.3561032379
138	0.356003087
139	0.3558739642
140	0.3557961466
141	0.3556634932
142	0.3554541203
143	0.355303061
144	0.3550856442
145	0.3544425701
146	0.3541606869
147	0.3539231496
148	0.3538036152
149	0.3536492367
150	0.353399338
151	0.3533294052
152	0.3531907974
153	0.352948506
154	0.3522808711
155	0.3521589662
156	0.3520142097
157	0.3519227446
158	0.3518514663
159	0.3516074676
160	0.3514588713
161	0.3513248299
162	0.3512199927
163	0.3510521065
164	0.3509269741
165	0.3508316007
166	0.3506072893
167	0.3499909495
168	0.3498144357
169	0.3494402957
170	0.3491274779
171	0.349036275
172	0.3489788386
173	0.3488764085
174	0.3488362893
175	0.3487212402
176	0.3486526876
177	0.348593689
178	0.3484640238
179	0.3483594302
180	0.3482238511
181	0.3481404046
182	0.3480653157
183	0.3479695075
184	0.3478164768
185	0.3477605786
186	0.3476767134
187	0.3475048104
188	0.347461115
189	0.3472959858
190	0.3471870074
191	0.3470924081
192	0.3470358618
193	0.3469870549
194	0.3469314228
195	0.3468305719
196	0.3463224802
197	0.3462451952
198	0.3460698654
199	0.3460226181
200	0.3459434173
201	0.3458261821
202	0.3457633484
203	0.3456690214
204	0.3456408786
205	0.3455491016
206	0.3453117825
207	0.3452044362
208	0.3451736302
209	0.3451569297
210	0.3450783852
211	0.3450022594
212	0.3449790346
213	0.3449335952
214	0.3448236717
215	0.3447919168
216	0.3445298362
217	0.3444308799
218	0.3443705787
219	0.3443146676
220	0.3442689709
221	0.3442224481
222	0.3441974102
223	0.3441173512
224	0.3440755791
225	0.3440299032
226	0.3436564366
227	0.3434962556
228	0.3434095082
229	0.3433251543
230	0.3429360497
231	0.3428488818
232	0.3427250718
233	0.3426696904
234	0.3425678989
235	0.3422334718
236	0.3421905712
237	0.3421099974
238	0.342046422
239	0.3419740432
240	0.3419245655
241	0.3419049135
242	0.3418873652
243	0.3418134661
244	0.3415286164
245	0.3415088492
246	0.3414181961
247	0.3413756096
248	0.3413134618
249	0.3411393726
250	0.341059735
251	0.3409801785
252	0.340880651
253	0.3408038866
254	0.3407215986
255	0.3406587512
256	0.3406021375
257	0.3405541571
258	0.3404863485
259	0.3404708474
260	0.340442235
261	0.3403235554
262	0.3400790852
263	0.3400489396
264	0.3400129961
265	0.3399369535
266	0.3399111722
267	0.3396525554
268	0.3396293028
269	0.3396043297
270	0.3395385325
271	0.3394948235
272	0.3393992195
273	0.3393736458
274	0.3393204455
275	0.3390655607
276	0.3390010499
277	0.3385763993
278	0.338338512
279	0.3382922239
280	0.3382863497
281	0.3380930835
282	0.3380586014
283	0.3380089388
284	0.3379740527
285	0.3379343527
286	0.3378982143
287	0.3378688265
288	0.3378111047
289	0.33775315
290	0.3376920053
291	0.3375748949
292	0.3375148014
293	0.3374476402
294	0.3373871467
295	0.3373026704
296	0.3372419672
297	0.3372005288
298	0.3371118692
299	0.3370623724
300	0.3370181589
301	0.3369170014
302	0.3368565852
303	0.3366558155
304	0.3365953695
305	0.3364895682
306	0.336289698
307	0.3362487083
308	0.336204327
309	0.336130613
310	0.3361047652
311	0.3360746716
312	0.3360475769
313	0.3360185012
314	0.3359425508
315	0.335907174
316	0.3358790378
317	0.3357035757
318	0.3356465502
319	0.3356285066
320	0.3355899743
321	0.335565197
322	0.3355092774
323	0.335442089
324	0.3353142267
325	0.3351740759
326	0.3351458799
327	0.3351027073
328	0.3350289376
329	0.3349890963
330	0.3349749574
331	0.334963443
332	0.3349498688
333	0.3348726292
334	0.3348688789
335	0.3348516419
336	0.3347840512
337	0.3347344982
338	0.3347130998
339	0.3346253595
340	0.3346073141
341	0.334579711
342	0.3345619684
343	0.3345336287
344	0.3344670764
345	0.3344486955
346	0.334342017
347	0.3343161226
348	0.3342796014
349	0.3342555216
350	0.3341725983
351	0.3341561254
352	0.3341289711
353	0.3340933828
354	0.3340628383
355	0.3340335033
356	0.3339490138
357	0.3339216478
358	0.3339069509
359	0.3338536538
360	0.3337787711
361	0.3337505653
362	0.3336828618
363	0.3336560132
364	0.3336496993
365	0.3336103408
366	0.3335718509
367	0.3335368952
368	0.3335020668
369	0.3334280329
370	0.3333578834
371	0.333324543
372	0.3332537611
373	0.3332286726
374	0.3332211983
375	0.3331761386
376	0.3331679334
377	0.3331413903
378	0.333046199
379	0.3330338538
380	0.3330274634
381	0.3329814664
382	0.3329365268
383	0.3329233319
384	0.3329210656
385	0.3328658075
386	0.3328550942
387	0.3328225879
388	0.3327999069
389	0.3326581093
390	0.332598831
391	0.3325347145
392	0.3325022993
393	0.3324853225
394	0.3324179958
395	0.332368673
396	0.3322576298
397	0.3322324962
398	0.3322075265
399	0.332188266
400	0.3321526776
401	0.3320729872
402	0.3320362562
403	0.3320145042
404	0.3320066303
405	0.3319854034
406	0.3319644891
407	0.3319596508
408	0.3319003613
409	0.3318628106
410	0.3316883785
411	0.3316360366
412	0.331611252
413	0.3315987779
414	0.3315616259
415	0.3315480108
416	0.3315035285
417	0.3313757447
418	0.3312264286
419	0.3311910341
420	0.3311259759
421	0.3310877726
422	0.3310713146
423	0.3310553418
424	0.3310235797
425	0.3309738731
426	0.3309198259
427	0.3308488431
428	0.3307762997
429	0.3307730446
430	0.3307628395
431	0.3307342926
432	0.3307018253
433	0.3306560435
434	0.3306222795
435	0.330566303
436	0.3305245492
437	0.3304913466
438	0.3304652518
439	0.3304471709
440	0.3303859505
441	0.3303251861
442	0.3302659488
443	0.3302500489
444	0.3302407949
445	0.3302144301
446	0.3301604538
447	0.3301284203
448	0.3300700267
449	0.3300631642
450	0.3300151199
451	0.3299628542
452	0.3299552941
453	0.3299000619
454	0.3298827043
455	0.3298664647
456	0.3298208987
457	0.3297470617
458	0.3297433973
459	0.3297394185
460	0.3297350952
461	0.3296844732
462	0.3296488094
463	0.3296272173
464	0.3295649248
465	0.3295332741
466	0.329518221
467	0.3294963995
468	0.3294598591
469	0.3294531236
470	0.3294367975
471	0.329407272
472	0.3293288732
473	0.329313762
474	0.3293066016
475	0.3292540596
476	0.3292521118
477	0.3291524718
478	0.3290402493
479	0.3289612132
480	0.3288522448
481	0.3288301545
482	0.3288078847
483	0.3287918395
484	0.3287292395
485	0.3287150194
486	0.3286919516
487	0.3286547373
488	0.3286424065
489	0.3285910965
490	0.3285715914
491	0.328516971
492	0.3285000105
493	0.3284533019
494	0.3284240901
495	0.3283596552
496	0.3283412679
497	0.3282921175
498	0.3282361307
499	0.3282120479
